timestamp,cpu_usage,memory_usage,request_rate,error_rate
2026-04-25T14:16:04.702995,32.24,42.26,112.24,0.0203
2026-04-25T14:11:04.702995,34.75,67.02,120.68,0.0226
2026-04-25T14:06:04.702995,43.84,54.71,108.3,0.0241
2026-04-25T14:01:04.702995,51.03,40.66,149.43,0.0259
2026-04-25T13:56:04.702995,47.59,62.16,108.98,0.012
2026-04-25T13:51:04.702995,58.27,53.1,111.66,0.0116
2026-04-25T13:46:04.702995,53.72,59.51,125.61,0.0181
2026-04-25T13:41:04.702995,30.95,57.15,135.03,0.0243
2026-04-25T13:36:04.702995,40.85,67.68,128.45,0.02
2026-04-25T13:31:04.702995,46.71,57.13,137.68,0.0231
2026-04-25T13:26:04.702995,30.22,62.04,146.3,0.0167
2026-04-25T13:21:04.702995,44.83,55.55,126.85,0.0102
2026-04-25T13:16:04.702995,37.56,68.09,145.47,0.0113
2026-04-25T13:11:04.702995,59.59,51.93,110.44,0.0265
2026-04-25T13:06:04.702995,59.81,69.58,143.6,0.0243
2026-04-25T13:01:04.702995,41.54,49.92,100.57,0.0119
2026-04-25T12:56:04.702995,50.66,43.73,143.07,0.0157
2026-04-25T12:51:04.702995,37.52,44.91,131.63,0.0255
2026-04-25T12:46:04.702995,55.06,50.38,116.76,0.0222
2026-04-25T12:41:04.702995,53.83,67.29,149.72,0.0156
2026-04-25T12:36:04.702995,56.87,40.28,130.86,0.0283
2026-04-25T12:31:04.702995,53.34,53.79,116.84,0.0166
2026-04-25T12:26:04.702995,43.61,41.03,149.43,0.0175
2026-04-25T12:21:04.702995,37.55,61.99,126.22,0.0293
2026-04-25T12:16:04.702995,40.09,57.84,142.4,0.0118
2026-04-25T12:11:04.702995,34.28,44.69,122.9,0.0188
2026-04-25T12:06:04.702995,46.37,45.55,124.34,0.0144
2026-04-25T12:01:04.702995,46.33,42.95,115.09,0.0218
2026-04-25T11:56:04.702995,34.71,59.74,133.38,0.0114
2026-04-25T11:51:04.702995,32.3,48.94,118.56,0.0247
2026-04-25T11:46:04.702995,48.1,48.33,148.54,0.0129
2026-04-25T11:41:04.702995,33.34,60.58,122.67,0.0152
2026-04-25T11:36:04.702995,58.36,67.55,120.71,0.0233
2026-04-25T11:31:04.702995,37.29,52.81,119.14,0.0111
2026-04-25T11:26:04.702995,54.68,53.16,120.01,0.0108
2026-04-25T11:21:04.702995,46.73,44.57,115.34,0.0193
2026-04-25T11:16:04.702995,42.05,51.87,113.27,0.0224
2026-04-25T11:11:04.702995,45.97,57.06,148.36,0.0108
2026-04-25T11:06:04.702995,45.85,62.36,104.9,0.0142
2026-04-25T11:01:04.702995,33.35,62.29,123.13,0.0144
2026-04-25T10:56:04.702995,55.79,62.24,118.54,0.0249
2026-04-25T10:51:04.702995,51.21,46.12,105.84,0.0221
2026-04-25T10:46:04.702995,49.56,66.1,127.94,0.0196
2026-04-25T10:41:04.702995,59.41,66.78,106.19,0.0283
2026-04-25T10:36:04.702995,51.51,68.26,144.04,0.0274
2026-04-25T10:31:04.702995,49.06,46.12,101.59,0.0211
2026-04-25T10:26:04.702995,48.0,60.82,132.14,0.0107
2026-04-25T10:21:04.702995,43.91,50.36,128.56,0.0151
2026-04-25T10:16:04.702995,38.23,49.03,125.17,0.0238
2026-04-25T10:11:04.702995,58.88,54.23,128.45,0.016
2026-04-25T10:06:04.702995,39.95,63.79,134.31,0.0155
2026-04-25T10:01:04.702995,32.4,63.36,115.51,0.0266
2026-04-25T09:56:04.702995,50.85,52.35,103.98,0.0236
2026-04-25T09:51:04.702995,47.08,58.63,141.0,0.022
2026-04-25T09:46:04.702995,58.05,51.18,142.94,0.0226
2026-04-25T09:41:04.702995,38.47,53.71,137.91,0.0111
2026-04-25T09:36:04.702995,38.7,56.49,113.3,0.0284
